gene,-40_ura3_A,-40_ura3_B,-20_ura3_A,-20_ura3_B,0_ura3_A,0_ura3_B,10_ura3_A,10_ura3_B,20_ura3_A,20_ura3_B,20_ura3_B.1,40_ura3_A,40_ura3_B,60_ura3_A,60_ura3_B,80_ura3_A,80_ura3_B,-40_0258_A,-40_0258_B,-20_0258_A,-20_0258_B,0_0258_A,0_0258_B,10_0258_A,10_0258_B,20_0258_A,40_0258_A,40_0258_B,60_0258_A,60_0258_B,80_0258_A,80_0258_B
VNG0053H,-0.107122411,-0.050008378,-0.079182444,-0.011060874,-0.074879591,-0.095675887,-0.175897464,-0.177969644,-0.072559064,-0.142212797,-0.147741785,-0.183777275,-0.145488098,-0.227163237,-0.221203257,-0.170431059,-0.129420307,0.017401072,-0.085438955,-0.027871779,-0.052281051,-0.178377722,-0.150206335,-0.200230092,-0.102681984,-0.130268483,-0.137503255,-0.225750901,-0.104156134,-0.178534823,-0.175890986,-0.185433096
VNG0054H,0.08195553,0.043509908,-0.031432096,-0.053404241,-0.015086209,-0.014595932,-0.103793694,-0.167696336,0.04407542,-0.169932528,-0.050062373,-0.146020615,-0.204020757,-0.206287312,-0.07362021,-0.148308134,0.055584831,-0.043923129,-0.0007819,-0.082240005,0.206751152,0.045184499,0.068497773,-0.155924795,0.079927531,-0.157513818,-0.159416272,-0.058478855,-0.038457225,0.076445638,-0.154421451,-0.150006457
VNG0055H,-0.006142366,0.02565722,-0.015539065,0.044959033,-0.026219756,-0.089380401,-0.069460836,-0.083618549,-0.078985763,-0.050605556,0.075452482,-0.153293456,-0.017149053,-0.089819171,-0.086363519,-0.032002425,0.04300852,0.036685074,-0.028185949,-0.010613922,0.053939795,-0.152614039,0.075094341,-0.06959339,0.079845534,-0.111072427,-0.058080132,-0.124304263,0.003266773,0.007468492,-0.140444171,0.002584974
VNG0057H,0.18414466,-0.011311559,-0.014438528,-0.004025771,0.046076124,0.032316189,-0.044112537,-0.007972104,-0.059239619,-0.124852445,-0.068383489,0.123426987,-0.052781455,0.057014739,-0.036851157,0.009135267,0.0682826,0.006050483,0.001399197,0.070988058,0.12615081,0.059317776,0.419804209,-0.062895849,-0.13360357,-0.07407834,-0.120599778,-0.195224812,-0.115562672,-0.290792067,-0.179251466,-0.269515918
VNG0058H,-0.105475032,0.158154243,0.125285982,0.186522857,-0.028777164,0.146454944,-0.60971833,-0.593413437,-0.472095711,-0.992514216,-0.5610204,-0.698862795,-0.482340228,-0.86795348,-0.546534654,-0.808891717,-0.692850893,-0.079800414,-0.039965431,0.074889933,0.123064851,-0.066491527,-0.033931862,-0.372819488,-0.435981944,-0.646708456,-0.559676339,-0.81763696,-0.848196251,-0.563426252,-0.789380785,-0.864277137
VNG0060G,-0.257966142,-0.066365552,-0.065026868,0.067310028,-0.01846638,-0.162352168,-0.035517556,-0.107206813,-0.134116069,0.146182613,0.106115555,0.101033444,0.11774767,-0.029243003,0.063247225,0.11308788,0.030426365,0.086397847,-0.019002277,-0.099611938,-0.150737358,-0.321340439,-0.152101401,-0.119372854,-0.004644597,0.025368793,0.019661678,0.109163316,0.190872709,0.395585929,0.154994314,0.268784532
VNG0061C,0.090650556,0.030107144,0.059674191,0.098120322,0.013429178,-0.033726273,0.05012414,0.075169022,-0.027648282,0.36012147,0.122988883,0.079731406,-0.006522101,0.041057033,-0.037801107,0.043791857,-0.039635373,0.067619423,0.116932427,0.156466396,0.039513446,-0.065446668,0.037965694,-0.069756563,-0.053534578,0.050515528,0.007428354,-0.061635136,-0.05642286,0.056974859,-0.032802922,0.005744373
VNG0062G,-0.164220995,-0.07398431,-0.062049208,0.023373058,-0.068058831,-0.166581339,-0.004906331,-0.074821976,-0.024874308,0.154148476,0.130314937,0.089783755,0.138195493,-0.007329003,0.10681815,0.085512001,0.085572151,0.178965025,-0.076070862,-0.037199316,-0.278546483,-0.312894508,-0.204214225,-0.145332586,-0.128891334,0.131805111,-0.053812456,0.073155233,0.359703915,0.329707375,0.137429234,0.308547792
VNG0063G,-0.364222702,-0.024217788,0.003477026,0.113781579,0.116128639,-0.144955052,-0.140993227,-0.025853439,-0.236660667,0.205418456,0.101735992,0.116416455,0.169888578,0.083811175,0.159305441,0.076465511,-0.038547102,0.075635297,0.109603371,0.02712547,-0.034813664,-0.232443139,-0.047465188,-0.091403308,-0.131141727,0.043011233,-0.011492766,0.007499629,-0.011107767,0.175836552,0.06726768,0.083114919
VNG0064G,-0.060951878,0.027279737,-0.048959778,0.051522518,-0.02332311,-0.04955312,-0.078159917,-0.049484999,-0.124755357,0.030350284,0.08548099,-0.031709389,0.00679997,-0.03721873,-0.01953955,-0.007570674,0.096790722,0.03475335,-0.034495113,-0.055187811,0.030000182,-0.117469788,-0.019036387,-0.120479945,0.03228481,-0.058237276,-0.013051727,0.061721286,0.001693972,0.02799743,-0.041422728,0.03132124
